stockcode,year,roc,ey,EBIT,EV
5TT,2020,-6.39,0.0972313777191826,17700000.0,182040000.0
5TT,2021,-7.99,-0.09458594649942403,-14780000.0,156260000.0
5TT,TTM,-7.99,-0.07447714007782101,-12250000.0,164480000.0
5TT,2015,30.6,0.25787680953732617,18170000.0,70460000.0
5TT,2016,19.56,0.2137546468401487,23000000.0,107600000.0
5TT,2017,22.71,0.16672814459609,22600000.0,135550000.0
5TT,2018,7.57,0.12066621346023115,21300000.0,176520000.0
5TT,2019,5.27,0.08989928057553957,15620000.0,173750000.0
5TT,2020,-6.39,0.0972313777191826,17700000.0,182040000.0
5TT,2021,-7.99,-0.09458594649942403,-14780000.0,156260000.0
5TT,TTM,-7.99,-0.07447714007782101,-12250000.0,164480000.0
5VS,2015,15.46,0.0868776456359605,17240000.0,198440000.0
5VS,2016,6.26,0.045061647141415466,10270000.0,227910000.0
5VS,2017,6.03,0.04700520233875052,10210000.0,217210000.0
5VS,2018,7.34,0.06154505212051978,12930000.0,210090000.0
5VS,2019,6.64,0.0572873202101026,11670000.0,203710000.0
5VS,2020,3.29,0.0241983614562422,4460000.0,184310000.0
5VS,2021,6.37,0.05895266224954099,14770000.0,250540000.0
5VS,TTM,6.37,0.057666028969663836,14770000.0,256130000.0
8A1,2014,-78.4,-0.05440717628705148,-2790000.0,51280000.0
8A1,2016,589.35,-0.0021815375115776478,-70660.0,32390000.0
8A1,2017,5.6,0.08498583569405099,1200000.0,14120000.0
8A1,2018,3.81,-0.0932020202020202,-184540.0,1980000.0
8A1,2019,-85.99,-0.9200743494423792,-4950000.0,5380000.0
8A1,2020,-21.1,-0.001152962989374599,-161680.0,140230000.0
8A1,TTM,-25.95,-0.08075064935064935,-310890.0,3850000.0
8AZ,2021,43.17,0.1599861782999309,78710000.0,491980000.0
8AZ,TTM,43.17,0.14797059763502718,78710000.0,531930000.0
8U7U,2015,3.1,0.04956534268286826,20640000.0,416420000.0
8U7U,2016,6.92,0.05906028128250351,26120000.0,442260000.0
8U7U,2017,6.72,0.05881192891732585,26840000.0,456370000.0
8U7U,2018,13.57,0.07412696701875404,27510000.0,371120000.0
8U7U,2019,13.92,0.04936058105709947,26980000.0,546590000.0
8U7U,2020,3.06,0.055869265917752466,28000000.0,501170000.0
8U7U,TTM,8.3,0.038331319463552935,32040000.0,835870000.0
8U7U,2015,3.1,0.04956534268286826,20640000.0,416420000.0
8U7U,2016,6.92,0.05906028128250351,26120000.0,442260000.0
8U7U,2017,6.72,0.05881192891732585,26840000.0,456370000.0
8U7U,2018,13.57,0.07412696701875404,27510000.0,371120000.0
8U7U,2019,13.92,0.04936058105709947,26980000.0,546590000.0
8U7U,2020,3.06,0.055869265917752466,28000000.0,501170000.0
8U7U,TTM,8.3,0.038331319463552935,32040000.0,835870000.0
A04,2015,1.11,0.018565724815724816,12090000.0,651200000.0
A04,2016,0.29,0.029699357851722126,20350000.0,685200000.0
A04,2017,-10.71,-0.037958494619988736,-22260000.0,586430000.0
A04,2018,-10.33,-0.05935134124684549,-31750000.0,534950000.00000006
A04,2019,-24.18,-0.41854311645013625,-158180000.0,377930000.0
A04,2020,-5.11,-0.04950827000447027,-17720000.0,357920000.0
A04,2021,-8.33,-0.056577363455670326,-20210000.0,357210000.0
A04,TTM,-6.98,-0.038249269545199666,-12960000.0,338830000.0
A04,2015,1.11,0.018565724815724816,12090000.0,651200000.0
A04,2016,0.29,0.029699357851722126,20350000.0,685200000.0
A04,2017,-10.71,-0.037958494619988736,-22260000.0,586430000.0
A04,2018,-10.33,-0.05935134124684549,-31750000.0,534950000.00000006
A04,2019,-24.18,-0.41854311645013625,-158180000.0,377930000.0
A04,2020,-5.11,-0.04950827000447027,-17720000.0,357920000.0
