Name,p_2014,p_2015,p_2016,p_2017,p_2018,p_2019,p_2020,p_2021,p_2022
D03.SI,0.5764399766921997,0.4288710057735443,0.3499999940395355,0.3400000035762787,0.270000010728836,0.1299999952316284,0.1480000019073486,0.2049999982118606,0.3799999952316284
D05.SI,16.469999313354492,19.790000915527344,14.0600004196167,18.96999931335449,26.399999618530277,23.920000076293945,25.3700008392334,25.18000030517578,35.20000076293945
D5IU.SI,0.4099999964237213,0.3549999892711639,0.3100000023841858,0.3899999856948852,0.4199999868869781,0.2399999946355819,0.2150000035762787,0.0630000010132789,0.0529999993741512
D8DU.SI,0.0829999968409538,0.1360000073909759,0.1340000033378601,0.1550000011920929,0.0930000022053718,0.0460000000894069,0.0740000009536743,0.0900000035762786,0.0810000002384185
DCRU.SI,,,,,,,,,1.1699999570846558
DHLU.SI,,,,,,,,,0.8050000071525574
DM0.SI,0.2300000041723251,0.2800000011920929,0.25,0.2300000041723251,0.324999988079071,0.2199999988079071,0.2049999982118606,0.2750000059604645,0.4000000059604645
DU4.SI,0.4699999988079071,0.3000000119209289,0.1199999973177909,0.1899999976158142,0.1930000036954879,0.0979999974370002,0.0949999988079071,0.0710000023245811,0.0710000023245811
E27.SI,0.0260000005364418,0.0109999999403953,0.0130000002682209,0.0299999993294477,0.0399999991059303,0.0170000009238719,0.0130000002682209,0.1539999991655349,0.0630000010132789
E28.SI,0.2899999916553497,0.2300000041723251,0.2000000029802322,0.2849999964237213,0.6800000071525574,0.4149999916553497,0.8450000286102295,1.3700000047683716,1.6399999856948853
E3B.SI,0.3449999988079071,0.3849999904632568,0.2599999904632568,0.2450000047683715,0.2649999856948852,0.209999993443489,0.2150000035762787,0.2000000029802322,0.1930000036954879
E5H.SI,0.5199999809265137,0.4199999868869781,0.3700000047683716,0.4250000119209289,0.3799999952316284,0.2549999952316284,0.209999993443489,0.1809999942779541,0.2450000047683715
E6R.SI,0.1327079981565475,0.0938429981470108,0.0824680030345916,0.0439999997615814,0.0260000005364418,0.0289999991655349,0.0199999995529651,0.0430000014603138,0.0209999997168779
E8Z.SI,0.5227270126342773,0.4818179905414581,0.436363011598587,0.459089994430542,0.5272719860076904,0.4099999964237213,0.3549999892711639,0.3549999892711639,0.4799999892711639
EB5.SI,1.9900000095367432,1.8650000095367432,1.7450000047683716,1.9299999475479128,1.899999976158142,1.7100000381469729,1.7000000476837158,1.5499999523162842,1.649999976158142
EH5.SI,0.6000000238418579,0.5849999785423279,0.4650000035762787,0.625,0.6800000071525574,0.625,0.7699999809265137,0.7200000286102295,0.6700000166893005
ER0.SI,0.3309090137481689,0.374545007944107,0.4040000140666961,0.4320000112056732,0.800000011920929,0.5199999809265137,0.3899999856948852,0.3449999988079071,0.3400000035762787
F03.SI,0.5,0.3100000023841858,0.2049999982118606,0.5699999928474426,0.675000011920929,0.5400000214576721,0.6449999809265137,0.7250000238418579,0.6650000214576721
F13.SI,0.0769999995827674,0.1019999980926513,0.1580000072717666,0.1959999948740005,0.1990000009536743,0.2049999982118606,0.2549999952316284,0.270000010728836,0.270000010728836
F17.SI,2.200000047683716,1.7999999523162842,1.6950000524520874,1.8350000381469729,2.259999990463257,1.830000042915344,1.830000042915344,1.5700000524520874,1.4900000095367432
F1E.SI,0.6850000023841858,0.7350000143051147,0.5799999833106995,0.5799999833106995,0.6949999928474426,0.574999988079071,0.4300000071525574,0.4000000059604645,0.4449999928474426
F34.SI,3.119999885559082,3.220000028610229,2.8499999046325684,3.880000114440918,3.200000047683716,3.3299999237060547,3.910000085830689,5.269999980926514,4.269999980926514
F83.SI,0.699999988079071,0.5400000214576721,0.3350000083446502,0.2800000011920929,0.4950000047683716,0.3650000095367431,0.2750000059604645,0.270000010728836,0.25
F86.SI,0.171998992562294,0.171998992562294,0.2235990017652511,0.1759999990463256,0.1389999985694885,0.1299999952316284,0.1059999987483024,0.090999998152256,0.0729999989271164
F99.SI,3.490000009536743,2.950000047683716,2.039999961853028,2.0799999237060547,2.559999942779541,1.690000057220459,1.7100000381469729,1.4299999475479126,1.3899999856948853
F9D.SI,1.405331015586853,1.5284570455551147,0.7900000214576721,0.8100000023841858,0.824999988079071,0.7900000214576721,0.7599999904632568,0.8849999904632568,0.9700000286102296
FQ7.SI,0.0489999987185001,0.0070000002160668,0.0070000002160668,0.0219999998807907,0.0199999995529651,0.0049999998882412,0.0040000001899898,0.0040000001899898,0.0020000000949949
G07.SI,17.559999465942383,24.200000762939453,20.049999237060547,20.57999992370605,30.1299991607666,26.149999618530277,21.68000030517578,20.959999084472656,21.100000381469727
G0I.SI,0.3199999928474426,0.2949999868869781,0.3100000023841858,0.3849999904632568,0.4099999964237213,0.3700000047683716,0.3700000047683716,0.3449999988079071,0.3449999988079071
G13.SI,1.3799999952316284,1.0800000429153442,0.7049999833106995,0.9700000286102296,1.350000023841858,1.100000023841858,0.8600000143051147,0.8550000190734863,0.7350000143051147
G20.SI,0.4350000023841858,0.6549999713897705,0.6150000095367432,0.5899999737739563,0.7350000143051147,0.5950000286102295,0.5799999833106995,0.5299999713897705,0.6299999952316284
G41.SI,0.8100000023841858,0.915000021457672,0.7799999713897705,0.8399999737739563,1.1299999952316284,0.875,0.8399999737739563,0.9200000166893004,1.159999966621399
G50.SI,0.2249999940395355,0.2000000029802322,0.25,0.2599999904632568,0.3300000131130218,0.3000000119209289,0.2649999856948852,0.2300000041723251,0.3100000023841858
G92.SI,0.8583329916000366,0.7099999785423279,0.6499999761581421,1.5149999856948853,1.6299999952316284,1.159999966621399,1.149999976158142,1.1299999952316284,0.9350000023841858
H02.SI,8.350000381469727,8.609999656677246,7.710000038146973,9.630000114440918,12.06999969482422,12.399999618530272,12.220000267028809,11.199999809265137,11.609999656677246
H07.SI,0.5799999833106995,0.5649999976158142,0.4900000095367431,0.5099999904632568,0.5149999856948853,0.4900000095367431,0.5,0.3400000035762787,0.3600000143051147
H12.SI,3.0022521018981934,3.631757020950317,3.176577091217041,3.5833330154418945,3.9222970008850098,3.119999885559082,3.0,2.7300000190734863,2.990000009536743
H13.SI,2.0,2.069999933242798,1.8799999952316284,2.220000028610229,2.619999885559082,2.509999990463257,2.289999961853028,2.380000114440918,2.799999952316284
H15.SI,2.990000009536743,4.119999885559082,3.5899999141693115,3.670000076293945,3.819999933242798,3.7699999809265137,3.630000114440918,3.0899999141693115,3.319999933242798
H18.SI,1.0399999618530271,1.3200000524520874,1.159999966621399,1.3899999856948853,1.4900000095367432,1.340000033378601,1.25,1.0099999904632568,1.0299999713897705
H19.SI,0.2899999916553497,0.3400000035762787,0.2649999856948852,0.3050000071525574,0.324999988079071,0.2750000059604645,0.3199999928474426,0.2800000011920929,0.3300000131130218
H20.SI,0.1146190017461776,0.0630000010132789,0.0509999990463256,0.0270000007003545,0.0299999993294477,0.003000000026077,0.0020000000949949,0.0020000000949949,0.003000000026077
H22.SI,1.270656943321228,1.4069730043411257,0.7448679804801941,0.8763149976730347,1.1100000143051147,0.5849999785423279,0.5899999737739563,0.7400000095367432,0.8100000023841858
H30.SI,0.6090899705886841,0.8272719979286194,0.6272720098495483,0.6650000214576721,0.8650000095367432,0.7049999833106995,0.7799999713897705,0.699999988079071,0.7300000190734863
H78.SI,6.019999980926514,7.409999847412109,6.269999980926514,6.75,7.199999809265137,7.170000076293945,5.329999923706055,4.630000114440918,5.400000095367432
HKB.SI,,,,,,,,16.5,12.5
HMN.SI,1.1362190246582031,1.2129260301589966,1.1026599407196045,1.08827805519104,1.2599999904632568,1.190000057220459,1.2599999904632568,1.0499999523162842,1.0199999809265137
I06.SI,0.4350000023841858,0.3499999940395355,0.2849999964237213,0.2450000047683715,0.270000010728836,0.2899999916553497,0.2800000011920929,0.2450000047683715,0.449999988079071
I07.SI,0.5149999856948853,0.209999993443489,0.1879999935626983,0.1979999989271164,0.2300000041723251,0.1990000009536743,0.209999993443489,0.6549999713897705,0.6449999809265137
I11.SI,0.0160000007599592,0.0070000002160668,0.0040000001899898,0.0020000000949949,0.003000000026077,0.0020000000949949,0.0010000000474974,0.0020000000949949,0.0020000000949949
I15.SI,4.349999904632568,4.659999847412109,4.349999904632568,3.660000085830689,3.950000047683716,3.490000009536743,4.630000114440918,4.309999942779541,3.690000057220459
I49.SI,0.4250000119209289,0.449999988079071,0.2949999868869781,0.209999993443489,0.2849999964237213,0.2399999946355819,0.2249999940395355,0.1899999976158142,0.1850000023841858
IX2.SI,0.5450000166893005,0.4550000131130218,0.375,0.5550000071525574,0.6650000214576721,0.574999988079071,0.6000000238418579,0.3849999904632568,0.550000011920929
J03.SI,0.050000000745058,0.0450000017881393,0.0099999997764825,0.0209999997168779,0.0839999988675117,0.0219999998807907,0.0309999994933605,0.0309999994933605,0.0230000000447034
J2T.SI,0.270000010728836,0.3549999892711639,0.3899999856948852,0.4350000023841858,0.5049999952316284,0.3350000083446502,0.3549999892711639,0.2599999904632568,0.2599999904632568
J36.SI,53.58000183105469,64.06999969482422,52.5,61.720001220703125,63.47999954223633,66.81999969482422,55.90999984741211,57.79999923706055,58.84000015258789
J69U.SI,1.698114991188049,2.06770396232605,1.897892951965332,1.9977819919586184,2.2674829959869385,2.2874600887298584,2.880000114440918,2.5899999141693115,2.259999990463257
J85.SI,1.5443880558013916,1.7320239543914795,1.2557179927825928,1.361564040184021,1.8200000524520876,1.6699999570846558,1.559999942779541,1.2300000190734863,1.1299999952316284
J91U.SI,0.6819589734077454,0.6720759868621826,0.5139399766921997,0.5584160089492798,0.5831239819526672,0.5241780281066895,0.5450000166893005,0.395000010728836,0.4250000119209289
JLB.SI,,,,,,,0.2649999856948852,0.4950000047683716,0.9649999737739564
JYEU.SI,,,,,,,0.9200000166893004,0.7699999809265137,0.8199999928474426
K03.SI,2.0999999046325684,2.180000066757202,1.899999976158142,2.009999990463257,2.119999885559082,2.0,1.75,1.4500000476837158,1.4800000190734863
K1Q.SI,0.2800000011920929,0.3350000083446502,0.2599999904632568,0.3549999892711639,0.3400000035762787,0.3000000119209289,0.1850000023841858,0.1560000032186508,0.1710000038146972
K29.SI,0.3400000035762787,0.2849999964237213,0.3100000023841858,0.3300000131130218,0.3300000131130218,0.3300000131130218,0.3199999928474426,0.3199999928474426,0.3000000119209289
K2LU.SI,1.0543919801712036,1.1410540342330933,0.8377360105514526,0.7799609899520874,0.8650000095367432,0.7300000190734863,0.699999988079071,0.699999988079071,0.824999988079071
K6S.SI,16.0,21.51000022888184,19.5,18.899999618530277,27.57999992370605,22.799999237060547,16.0,15.0,17.299999237060547
K71U.SI,1.125,1.2350000143051147,0.8949999809265137,1.0099999904632568,1.2899999618530271,1.1799999475479126,1.2100000381469729,1.2200000286102295,1.1200000047683716
K75.SI,0.2957029938697815,0.3055590093135834,0.2661319971084595,0.270000010728836,0.3400000035762787,0.2249999940395355,0.2150000035762787,0.1589999943971634,0.1609999984502792
KJ5.SI,0.2549999952316284,0.2649999856948852,0.1659999936819076,0.1790000051259994,0.2450000047683715,0.1749999970197677,0.1599999964237213,0.1519999951124191,0.1309999972581863
KUO.SI,,,,,,,0.0170000009238719,0.0630000010132789,0.0280000008642673
L02.SI,0.3042910099029541,0.3269999921321869,0.1026410013437271,0.0817499980330467,0.0817499980330467,0.0219999998807907,0.0299999993294477,0.0549999997019767,0.0410000011324882
L03.SI,0.5249999761581421,0.6299999952316284,0.4250000119209289,0.4650000035762787,0.7699999809265137,0.4900000095367431,0.5,0.4600000083446502,0.5149999856948853
L09.SI,0.4399999976158142,0.5,0.1400000005960464,0.4250000119209289,0.6949999928474426,0.550000011920929,0.449999988079071,0.3899999856948852,0.5899999737739563
L19.SI,0.3449999988079071,0.3549999892711639,0.3400000035762787,0.3499999940395355,0.3849999904632568,0.3600000143051147,0.3549999892711639,0.3799999952316284,0.4149999916553497
L23.SI,0.0700000002980232,0.0560000017285347,0.0719999969005584,0.0680000036954879,0.0399999991059303,0.0419999994337558,0.0189999993890523,0.0890000015497207,0.0700000002980232
L38.SI,0.1410000026226043,0.3449999988079071,0.2049999982118606,0.1650000065565109,0.2150000035762787,0.1679999977350235,0.1599999964237213,0.0680000036954879,0.1030000001192092
LIW.SI,,,,,,,0.5,0.1369999945163726,0.1369999945163726
LJ3.SI,2.239027976989746,2.200000047683716,1.649999976158142,1.830000042915344,2.150000095367432,1.5299999713897705,1.440000057220459,1.1399999856948853,1.3200000524520874
LS9.SI,0.0790000036358833,0.06700000166893,0.0410000011324882,0.050000000745058,0.0260000005364418,0.0399999991059303,0.025000000372529,0.181999996304512,0.0640000030398368
LUY.SI,0.699999988079071,0.949999988079071,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.1899999976158142,0.270000010728836,0.4199999868869781,0.0949999988079071
M01.SI,0.8550000190734863,0.975000023841858,0.8349999785423279,1.059999942779541,1.159999966621399,0.9900000095367432,0.8899999856948853,0.7400000095367432,0.7400000095367432
M04.SI,1.584545016288757,1.5468180179595947,1.350000023841858,1.25,2.1600000858306885,1.9299999475479128,1.690000057220459,1.75,2.1600000858306885
M05.SI,1.1532249450683594,0.9210820198059082,0.4043770134449005,0.3504599928855896,0.3369809985160827,0.1930000036954879,0.2549999952316284,0.2000000029802322,0.2399999946355819
M11.SI,0.0719999969005584,0.1289999932050705,0.2300000041723251,0.1500000059604644,0.3149999976158142,0.3149999976158142,0.0860000029206276,0.06700000166893,0.0540000014007091
M14.SI,0.324999988079071,0.25,0.1949999928474426,0.3199999928474426,0.4199999868869781,0.4449999928474426,0.4350000023841858,0.6200000047683716,0.6850000023841858
M1GU.SI,0.926230013370514,0.7995290160179138,0.5810779929161072,0.3849999904632568,0.4050000011920929,0.4149999916553497,0.4650000035762787,0.3799999952316284,0.4399999976158142
M44U.SI,0.9986860156059264,1.192461013793945,0.9340940117836,1.0434030294418335,1.3700000047683716,1.3700000047683716,1.840000033378601,1.9800000190734863,1.690000057220459
ME8U.SI,1.309999942779541,1.5299999713897705,1.5399999618530271,1.6449999809265137,2.119999885559082,2.0,2.7799999713897705,2.8603739738464355,2.509999990463257
MF6.SI,0.0552860014140605,0.0759999975562095,0.0549999997019767,0.0640000030398368,0.0680000036954879,0.0399999991059303,0.0480000004172325,0.0450000017881393,0.0489999987185001
MR7.SI,0.1059999987483024,0.1180000007152557,0.1790000051259994,0.2800000011920929,0.6150000095367432,0.3799999952316284,0.2949999868869781,0.2349999994039535,0.3849999904632568
MV4.SI,0.4650000035762787,0.3799999952316284,0.2899999916553497,0.324999988079071,0.3000000119209289,0.2399999946355819,0.2399999946355819,0.3600000143051147,0.375
MXNU.SI,,,,,,,,0.6449999809265137,0.6600000262260437
MZH.SI,,,,,,,,4.809999942779541,2.8299999237060547
N01.SI,0.7049999833106995,0.7549999952316284,0.6050000190734863,0.3700000047683716,0.3700000047683716,0.270000010728836,0.270000010728836,0.1860000044107437,0.1110000014305114
N02.SI,1.725000023841858,1.6100000143051147,1.5199999809265137,1.6299999952316284,1.399999976158142,1.1799999475479126,0.8949999809265137,0.7400000095367432,0.8399999737739563
N08.SI,0.2949999868869781,0.2549999952316284,0.209999993443489,0.2849999964237213,0.2649999856948852,0.2249999940395355,0.164000004529953,0.1749999970197677,0.19200000166893
