Trading Name,Trading Code,RIC,Mkt Cap ($M),Sector
ComfortDelGro,C52,CMDG.SI,2947.729,Transportation
SIA,C6L,SIAL.SI,14887.718,Transportation
Creative,C76,CREA.SI,164.796,Technology Equipment
Sinostar Pec,C9Q,SNSR.SI,184.531,Energy - Fossil Fuels
StarHub,CC3,STAR.SI,2233.83,Telecommunications Services
Dasin Retail Tr,CEDU,DASI.SI,248.588,Real Estate
Uni-Asia Grp,CHJ,UAFC.SI,87.525,Real Estate
HRnetGroup,CHZ,HRNE.SI,768.669,Industrial & Commercial Services
Courage Inv,CIN,1145.HK,274.556,Transportation
NetLink NBN Tr,CJLU,NETL.SI,3780.062,Telecommunications Services
B&M Hldg,CJN,BMHL.SI,25.924,Banking & Investment Services
APAC Realty,CLN,APAC.SI,229.103,Real Estate
KepPacOakReitUSD,CMOU,KPEL.SI,769.638,Real Estate
MindChamps,CNE,MIND.SI,57.984,Personal & Household Products & Services
Sasseur Reit,CRPU,SASS.SI,967.61,Real Estate
Hong Lai Huat,CTO,HONL.SI,48.16,Real Estate
Cromwell Reit EUR,CWBU,,,
Cromwell Reit SGD,CWCU,CROM.SI,1301.623,Real Estate
Ascendas-iTrust,CY6U,AINT.SI,1500.303,Real Estate
DairyFarm USD,D01,DAIR.SI,3613.259,Food & Drug Retailing
Del Monte Pac,D03,DMPL.SI,1220.207,Food & Beverages
DBS,D05,DBSM.SI,91084.141,Banking & Investment Services
Lippo Malls Tr,D5IU,LMRT.SI,406.687,Real Estate
FSL Trust,D8DU,FSLT.SI,142.388,Transportation
DigiCore Reit USD,DCRU,DIGT.SI,1316.668,Real Estate
Daiwa Hse Log Tr,DHLU,DAIW.SI,543.375,Real Estate
Hanwell,DM0,HANW.SI,228.399,Applied Resources
Mermaid Maritime,DU4,MMPC.SI,99.769,Energy - Fossil Fuels
The Place Hldg,E27,THEP.SI,370.481,Cyclical Consumer Services
Frencken,E28,FREN.SI,700.322,Industrial Goods
Wee Hur,E3B,WHHL.SI,180.632,Industrial & Commercial Services
Golden Agri-Res,E5H,GAGR.SI,3127.09,Food & Beverages
Samko Timber,E6R,SAMT.SI,50.125,Applied Resources
Roxy-Pacific,E8Z,RXYP.SI,630.194,Real Estate
First Resources,EB5,FRLD.SI,2598.671,Food & Beverages
UOA,EH5,UOS.AX,320.607,Real Estate
KSH,ER0,KSHH.SI,193.71,Industrial & Commercial Services
Food Empire,F03,FEMP.SI,360.978,Food & Beverages
Fu Yu,F13,FUYU.SI,203.309,Industrial Goods
GuocoLand,F17,GUOC.SI,1763.226,Real Estate
Low Keng Huat,F1E,LKH.SI,328.773,Industrial & Commercial Services
Wilmar Intl,F34,WLIL.SI,27185.092,Food & Beverages
COSCO SHP SG,F83,COSC.SI,559.811,Transportation
MYP,F86,MYPL.SI,116.25,Real Estate
F & N,F99,FRNM.SI,2020.434,Food & Beverages
Boustead,F9D,BTSS.SI,485.065,Industrial & Commercial Services
Jasper Inv,FQ7,JASP.SI,8.708,Energy - Fossil Fuels
Great Eastern,G07,GELA.SI,9987.032,Insurance
Nam Lee Metal,G0I,NLPM.SI,84.092,Cyclical Consumer Products
Genting Sing,G13,GENS.SI,8889.109,Cyclical Consumer Services
GP Industries,G20,GPEI.SI,328.456,Industrial Goods
G K Goh,G41,GKHS.SI,371.873,Banking & Investment Services
Grand Banks,G50,GBYL.SI,57.237,Cyclical Consumer Products
China Aviation,G92,CNAO.SI,805.219,Energy - Fossil Fuels
Haw Par,H02,HPAR.SI,2569.875,Pharmaceuticals & Medical Research
Stamford Land,H07,SFLD.SI,533.829,Cyclical Consumer Services
Hotel Royal,H12,HTRS.SI,301.392,Cyclical Consumer Services
Ho Bee Land,H13,HBEE.SI,1969.346,Real Estate
HPL,H15,HPPS.SI,1731.348,Cyclical Consumer Services
Hotel Grand,H18,HGCS.SI,761.609,Cyclical Consumer Services
Hwa Hong,H19,HWHS.SI,215.656,Real Estate
Hoe Leong,H20,HLEC.SI,18.813,Industrial Goods
Hong Leong Asia,H22,HLAA.SI,605.804,Automobiles & Auto Parts
Hong Fok,H30,HONG.SI,635.547,Real Estate
HongkongLand USD,H78,HKLD.SI,12512.677,Real Estate
AMTD IB OV,HKB,,,
Ascott Trust,HMN,ASCO.SI,3342.078,Real Estate
Intraco,I06,ITRS.SI,51.177,Industrial & Commercial Services
ISDN,I07,ISDN.SI,282.922,Industrial Goods
Renaissance United,I11,RENA.SI,12.362,Utilities
Isetan,I15,ISET.SI,152.212,Retailers
IFS Capital,I49,IFAC.SI,69.554,Banking & Investment Services
PEC,IX2,PECL.SI,141.232,Energy - Fossil Fuels
Axington R,IXOR,,,
